ID,Pass,Grade,Pass Sess 0,Grade Sess 0,Grade Sess 1,Pass Sess 1
176190,1,2,1,2,-1,-1
176301,1,2,1,2,-1,-1
187285,1,3,1,3,-1,-1
194408,1,2,1,2,-1,-1
197376,1,2,1,2,-1,-1
203514,1,1,1,1,-1,-1
204216,1,2,1,2,-1,-1
204880,1,2,1,2,-1,-1
205766,1,1,1,1,-1,-1
206596,1,3,1,3,-1,-1
207120,1,3,1,3,-1,-1
207248,1,1,0,-1,1,1
212185,1,2,1,2,-1,-1
212493,1,3,1,3,-1,-1
214134,1,2,1,2,-1,-1
214552,1,2,1,2,-1,-1
214555,1,2,1,2,-1,-1
214960,1,2,1,2,-1,-1
215449,1,2,1,2,-1,-1
215536,1,2,1,2,-1,-1
215988,1,3,0,-1,3,1
217057,1,3,1,3,-1,-1
218310,1,3,1,3,3,1
218332,1,3,1,3,-1,-1
218710,1,3,1,3,-1,-1
218838,1,2,1,2,-1,-1
222743,1,2,1,2,-1,-1
223039,1,1,1,1,-1,-1
223110,1,3,1,3,-1,-1
224013,1,3,1,3,-1,-1
224313,1,2,1,2,-1,-1
225982,1,2,1,2,-1,-1
226517,1,2,1,2,-1,-1
226718,1,3,1,3,-1,-1
227246,1,1,1,1,-1,-1
227834,1,3,1,3,-1,-1
228260,1,3,1,3,-1,-1
229803,1,1,1,1,-1,-1
231911,1,2,1,2,-1,-1
233690,1,2,1,2,-1,-1
233692,1,3,0,-1,3,1
233715,1,1,1,1,-1,-1
233837,1,1,1,1,-1,-1
233868,1,1,1,1,-1,-1
233882,1,1,1,1,-1,-1
233894,1,2,1,2,-1,-1
233935,1,2,1,2,-1,-1
233970,1,2,1,2,-1,-1
233996,0,-1,0,-1,-1,2
234362,1,1,1,1,-1,-1
234445,1,1,1,1,-1,-1
234447,1,3,1,3,-1,-1
234451,1,2,1,2,-1,-1
234457,1,2,1,2,-1,-1
234710,1,2,1,2,-1,-1
234970,1,2,1,2,-1,-1
235000,1,2,1,2,-1,-1
235002,1,1,1,1,-1,-1
235017,1,2,1,2,-1,-1
235018,1,3,1,3,-1,-1
235069,1,3,1,3,3,1
235092,1,2,1,2,-1,-1
235130,1,2,1,2,-1,-1
235372,1,1,1,1,-1,-1
235568,1,1,1,1,-1,-1
235574,1,1,1,1,-1,-1
235604,1,1,1,1,-1,-1
235766,1,1,1,1,-1,-1
235821,1,1,1,1,-1,-1
235901,1,1,1,1,-1,-1
235909,1,2,1,2,-1,-1
236135,1,1,1,1,-1,-1
236195,0,-1,0,-1,-1,2
