ID,Grade Sess 1,Pass Sess 1
207248,1,1
215988,3,1
218310,3,1
233692,3,1
233996,-1,2
235069,3,1
236195,-1,2
238335,1,1
239181,0,0
240215,2,1
244680,2,1
244804,2,1
244959,1,1
244964,1,1
244966,1,1
245000,1,1
245492,2,1
246204,1,1
246517,1,1
246652,1,1
246735,-1,2
246939,1,1
247375,2,1
247506,1,1
247710,1,1
248223,1,1
248602,1,1
248837,1,1
248912,2,1
249193,3,1
249640,1,1
249791,-1,2
249920,1,1
250401,1,1
267833,1,1
148194,3,1
194148,3,1
194362,0,0
203010,1,1
203928,2,1
205391,3,1
205909,0,0
208342,3,1
213193,2,1
213891,3,1
215904,1,1
216178,2,1
216249,0,0
216668,3,1
217230,0,0
217970,3,1
219502,0,0
223269,1,1
224399,3,1
224632,0,0
226464,0,0
226761,3,1
227564,3,1
227689,0,0
227969,0,0
228341,0,0
228534,0,0
228653,2,1
229200,1,1
229231,2,1
229335,1,1
229445,0,0
229703,2,1
229820,0,0
230964,3,1
234095,1,1
234139,0,0
234407,1,1
234465,3,1
234836,0,0
235225,1,1
235330,2,1
235622,3,1
235818,3,1
235895,1,1
236099,0,0
236131,1,1
236594,3,1
236628,3,1
237008,2,1
237101,2,1
237485,2,1
237604,0,0
237646,2,1
237723,2,1
237741,2,1
237778,1,1
237966,0,0
237977,1,1
238438,0,0
240200,0,0
240480,0,0
240591,2,1
244536,3,1
244712,2,1
244807,3,1
245003,1,1
245012,1,1
245125,3,1
245134,1,1
245249,3,1
245275,1,1
245410,2,1
245427,1,1
245511,1,1
245569,0,0
245611,3,1
245613,1,1
245701,1,1
245711,2,1
245747,1,1
245797,2,1
245811,2,1
245820,2,1
245847,3,1
245991,1,1
246056,1,1
246067,3,1
246101,3,1
246175,2,1
246281,1,1
246328,2,1
246390,2,1
246402,3,1
246497,1,1
246533,1,1
246610,1,1
246619,2,1
246706,1,1
246762,2,1
246773,1,1
246779,2,1
246785,1,1
246865,1,1
246866,2,1
247134,3,1
247159,2,1
247203,1,1
247256,0,0
247257,1,1
247308,3,1
247351,2,1
247601,1,1
247635,1,1
247665,1,1
247782,2,1
247847,2,1
247871,2,1
247908,1,1
247920,2,1
248041,1,1
248071,2,1
248121,3,1
248176,2,1
248212,1,1
248241,0,0
248247,3,1
248253,2,1
248291,2,1
248335,1,1
248376,3,1
248423,3,1
248450,3,1
248497,3,1
248547,3,1
248566,3,1
248594,3,1
248615,0,0
248640,3,1
248957,2,1
249073,3,1
249564,1,1
249669,3,1
249735,3,1
249807,2,1
249862,3,1
250209,0,0
251096,3,1
251718,0,0
252105,1,1
252615,2,1
253163,1,1
253581,3,1
253797,1,1
260159,1,1
261327,3,1
262660,3,1
263011,2,1
263279,3,1
264590,3,1
264811,0,0
267014,3,1
267027,0,0
267197,3,1
267347,3,1
171997,-1,2
186166,-1,2
186636,-1,2
200844,-1,2
205018,-1,2
206618,-1,2
213385,-1,2
213393,-1,2
217322,-1,2
222715,-1,2
